model,n,n_neurons,k,is_lowrank,per_step_ms,speedup_vs_dense,matvec_per_step_ms,matvec_speedup,max_abs_err_r_max,mean_abs_err_r_max,max_pos_err,mean_pos_err,rmse_r,relerr_conn,captured_energy
CANN1D,256,256,32,1,0.007667578756809235,0.8693064496538322,0.000563538633286953,5.731265338500566,5.546491593122482e-06,2.4044968540692935e-06,0.006020069122314453,0.004135799734623888,4.9539758038008586e-06,1.389832854270935,1.0
CANN1D,512,512,-1,0,0.008458271622657776,1.0,0.011454583145678043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,512,512,1,1,0.00741519033908844,1.1406681738256719,0.00028145499527454376,40.697743291088976,1.1422671377658844e-06,6.511574497380934e-07,0.004182696342468262,0.0037124513334889507,2.3690747639193432e-06,1.1261546611785889,0.2821313142776489
CANN1D,512,512,2,1,0.00841636210680008,1.0049795286046255,0.00047812703996896744,23.957195866649784,1.0962830856442451e-06,6.558513518939435e-07,0.004296541213989258,0.0036174633198572162,2.323443140994641e-06,1.2209229469299316,0.5026715397834778
CANN1D,512,512,4,1,0.006834045052528381,1.237666939220496,0.0003729201853275299,30.71591079366665,1.4312099665403366e-06,7.54647203393688e-07,0.004631996154785156,0.0034993615600481705,2.2245840227697045e-06,1.3348757028579712,0.8256756663322449
CANN1D,512,512,8,1,0.006541609764099121,1.292995444191344,0.00037437770515680313,30.596328221202285,2.673361450433731e-06,1.2273923175598611e-06,0.004716634750366211,0.003675982594752132,2.398306378381676e-06,1.395520806312561,0.9936921000480652
CANN1D,512,512,16,1,0.0063749030232429504,1.3268078889700512,0.0005993759259581566,19.110849551334343,2.7010682970285416e-06,1.2799655451090075e-06,0.004701137542724609,0.0036772861889558823,2.4057615064521087e-06,1.3976653814315796,0.9999999403953552
CANN1D,512,512,32,1,0.007207505404949188,1.173536632639876,0.001191454939544201,9.613945744402278,2.7009518817067146e-06,1.2796319879271323e-06,0.004701137542724609,0.003677284228030461,2.4057562768575735e-06,1.3976653814315796,1.0
CANN1D,1024,1024,-1,0,0.00800006091594696,1.0,0.026454166509211063,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,1024,1024,1,1,0.007165595889091492,1.116454380036392,0.0004281289875507355,61.79017837720252,4.757894203066826e-07,2.92205669438772e-07,0.004177689552307129,0.003720711710764535,1.1866102340718498e-06,1.1248302459716797,0.2821037769317627
CANN1D,1024,1024,2,1,0.0072503462433815,1.1034039820166988,0.000877077691257,30.161714033904783,4.6746572479605675e-07,2.6288500976079376e-07,0.004637718200683594,0.003648769611202592,1.1734465488189016e-06,1.2113507986068726,0.5022252798080444
CANN1D,1024,1024,4,1,0.007834285497665405,1.0211602472658108,0.0006933370605111122,38.1548427394169,7.703201845288277e-07,3.9628909576094884e-07,0.005299091339111328,0.003486943201877963,1.1735312455130043e-06,1.348070502281189,0.8254674673080444
CANN1D,1024,1024,8,1,0.006542541086673737,1.2227758007117437,0.0007079122588038445,37.369273070522226,1.1132797226309776e-06,5.121709705235844e-07,0.005268096923828125,0.003462543746166343,1.1784551361415652e-06,1.4046458005905151,0.9936819672584534
CANN1D,1024,1024,16,1,0.007458031177520752,1.0726773226773227,0.001257709227502346,21.03361089410606,1.1231168173253536e-06,4.982997552360757e-07,0.005255937576293945,0.003460840593518025,1.174752014776459e-06,1.406747579574585,1.0
CANN1D,1024,1024,32,1,0.007333233952522278,1.0909321818643638,0.0028520822525024414,9.275386951410658,1.1230586096644402e-06,4.983364760846598e-07,0.005255937576293945,0.0034608414967605217,1.1747525832106476e-06,1.4067474603652954,1.0
CANN1D,2048,2048,-1,0,0.015208497643470764,1.0,0.12970791663974524,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,2048,2048,1,1,0.007249414920806885,2.0978931140801644,0.0006883265450596809,188.4395096639764,4.0512531995773315e-07,2.2513501107823686e-07,0.0041751861572265625,0.003724310743673962,5.972167400614126e-07,1.1327555179595947,0.2820970118045807
CANN1D,2048,2048,2,1,0.006875023245811462,2.2121376320780275,0.0016241706907749176,79.86101299356629,4.225294105708599e-07,2.3860192754909804e-07,0.004546940326690674,0.0039161185514013375,6.192399837345874e-07,1.232140064239502,0.5020064115524292
CANN1D,2048,2048,4,1,0.007792375981807709,1.9517150711127047,0.0012947898358106613,100.17681097916233,4.943867679685354e-07,2.213455445598811e-07,0.004752635955810547,0.0039631899062487945,6.263915679483034e-07,1.3562755584716797,0.8253647685050964
