model,n,n_neurons,k,is_lowrank,per_step_ms,speedup_vs_dense,matvec_per_step_ms,matvec_speedup,max_abs_err_r_max,mean_abs_err_r_max,max_pos_err,mean_pos_err,rmse_r,relerr_conn,captured_energy
CANN1D,128,128,32,1,0.0064177438616752625,1.116819039326658,0.00031103845685720444,1.9517927988621904,2.844119444489479e-05,1.3611067515739705e-05,0.0068798065185546875,0.003936789129584579,1.2859663911513053e-05,1.427431344985962,1.0
CANN1D,128,128,64,1,0.007625669240951538,0.9399120664386907,0.0005820859223604202,1.0429433129069934,2.844119444489479e-05,1.36110647872556e-05,0.0068798065185546875,0.003936789054704372,1.2859663002018351e-05,1.427431344985962,1.0
CANN1D,256,256,-1,0,0.006624497473239899,1.0,0.003142915666103363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,256,256,1,1,0.00708363950252533,0.9351827504601631,0.00011895783245563507,26.420418069365066,2.8596259653568268e-06,8.720508617443556e-07,0.004202365875244141,0.003712805984869375,4.718817308457801e-06,1.1076314449310303,0.28224533796310425
CANN1D,256,256,2,1,0.006875023245811462,0.9635600108371715,0.00023291446268558502,13.493862209604542,3.384659066796303e-06,9.488477417107788e-07,0.004842698574066162,0.004087905572661803,5.063527169113513e-06,1.2010682821273804,0.5035987496376038
CANN1D,256,256,4,1,0.007375143468379974,0.8982194721555752,0.00020687468349933624,15.192364831405033,2.7492642402648926e-06,1.1569587741178111e-06,0.0064051151275634766,0.004321384206227023,5.209965365793323e-06,1.3309191465377808,0.8261029124259949
CANN1D,256,256,8,1,0.00800006091594696,0.8280558789289872,0.00020062550902366638,15.665583511280289,5.979090929031372e-06,2.3113645966077456e-06,0.0060079097747802734,0.004134199067238887,4.931470812152838e-06,1.3877894878387451,0.993712842464447
CANN1D,256,256,16,1,0.006750226020812988,0.9813741721854304,0.00030500348657369614,10.304523733186766,5.54695725440979e-06,2.4039704840106424e-06,0.006020307540893555,0.00413580719456451,4.953980806021718e-06,1.389832854270935,0.9999999403953552
CANN1D,256,256,32,1,0.007875263690948486,0.8411778618732261,0.0005722977221012115,5.4917493897477625,5.546491593122482e-06,2.4044968540692935e-06,0.006020069122314453,0.004135799734623888,4.9539758038008586e-06,1.389832854270935,1.0
CANN1D,256,256,64,1,0.007458031177520752,0.8882367632367633,0.001161252148449421,2.706488569515232,5.546491593122482e-06,2.4044968540692935e-06,0.006020069122314453,0.004135799734623888,4.9539758038008586e-06,1.389832854270935,1.0
CANN1D,512,512,-1,0,0.007124617695808411,1.0,0.011378959752619267,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,512,512,1,1,0.00695791095495224,1.023959309329407,0.0002637505531311035,43.14288488700565,1.1422671377658844e-06,6.511574497380934e-07,0.004182696342468262,0.0037124513334889507,2.3690747639193432e-06,1.1261546611785889,0.2821313142776489
CANN1D,512,512,2,1,0.006792135536670685,1.048951048951049,0.0004479195922613144,25.404023287243998,1.0962830856442451e-06,6.558513518939435e-07,0.004296541213989258,0.0036174633198572162,2.323443140994641e-06,1.2209229469299316,0.5026715397834778
CANN1D,512,512,4,1,0.006875023245811462,1.0363045245191005,0.00033395830541849136,34.072995245199884,1.4312099665403366e-06,7.54647203393688e-07,0.004631996154785156,0.0034993615600481705,2.2245840227697045e-06,1.3348757028579712,0.8256756663322449
CANN1D,512,512,8,1,0.006833113729953766,1.0426604879378492,0.00041937455534935,27.133166777703753,2.673361450433731e-06,1.2273923175598611e-06,0.004716634750366211,0.003675982594752132,2.398306378381676e-06,1.395520806312561,0.9936921000480652
CANN1D,512,512,16,1,0.0074999406933784485,0.9499565379361729,0.0006087496876716614,18.692345939660974,2.7010682970285416e-06,1.2799655451090075e-06,0.004701137542724609,0.0036772861889558823,2.4057615064521087e-06,1.3976653814315796,0.9999999403953552
CANN1D,512,512,32,1,0.007333233952522278,0.9715519431038863,0.0012095784768462181,9.407376181401705,2.7009518817067146e-06,1.2796319879271323e-06,0.004701137542724609,0.003677284228030461,2.4057562768575735e-06,1.3976653814315796,1.0
CANN1D,512,512,64,1,0.007249414920806885,0.9827852004110997,0.0028985412791371346,3.9257539074988315,2.7009518817067146e-06,1.2796319879271323e-06,0.004701137542724609,0.003677284228030461,2.4057562768575735e-06,1.3976653814315796,1.0
CANN1D,1024,1024,-1,0,0.007332302629947662,1.0,0.024094791151583195,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,1024,1024,1,1,0.007582828402519226,0.9669614345369688,0.0003883335739374161,62.0466340504113,4.757894203066826e-07,2.92205669438772e-07,0.004177689552307129,0.003720711710764535,1.1866102340718498e-06,1.1248302459716797,0.2821037769317627
CANN1D,1024,1024,2,1,0.010624527931213379,0.6901297335203366,0.0014718715101480484,16.370172929809353,4.6746572479605675e-07,2.6288500976079376e-07,0.004637718200683594,0.003648769611202592,1.1734465488189016e-06,1.2113507986068726,0.5022252798080444
CANN1D,1024,1024,4,1,0.007292255759239197,1.005491698595147,0.001218956895172596,19.766729444663042,7.703201845288277e-07,3.9628909576094884e-07,0.005299091339111328,0.003486943201877963,1.1735312455130043e-06,1.348070502281189,0.8254674673080444
CANN1D,1024,1024,8,1,0.007458031177520752,0.9831418581418582,0.0007135374471545219,33.768082176583064,1.1132797226309776e-06,5.121709705235844e-07,0.005268096923828125,0.003462543746166343,1.1784551361415652e-06,1.4046458005905151,0.9936819672584534
CANN1D,1024,1024,16,1,0.0069588422775268555,1.053667023554604,0.0012637488543987274,19.066123041549368,1.1231168173253536e-06,4.982997552360757e-07,0.005255937576293945,0.003460840593518025,1.174752014776459e-06,1.406747579574585,1.0
CANN1D,1024,1024,32,1,0.00858306884765625,0.8542751736111112,0.002830210141837597,8.513428312407553,1.1230586096644402e-06,4.983364760846598e-07,0.005255937576293945,0.0034608414967605217,1.1747525832106476e-06,1.4067474603652954,1.0
CANN1D,1024,1024,64,1,0.007417052984237671,0.9885735811150176,0.005596461705863476,4.305361569139088,1.1230586096644402e-06,4.983364760846598e-07,0.005255937576293945,0.0034608414967605217,1.1747525832106476e-06,1.406747579574585,1.0
CANN1D,2048,2048,-1,0,0.008791685104370117,1.0,0.11960979085415602,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,2048,2048,1,1,0.007749535143375397,1.134479028962865,0.0007062498480081558,169.35903234739493,4.0512531995773315e-07,2.2513501107823686e-07,0.0041751861572265625,0.003724310743673962,5.972167400614126e-07,1.1327555179595947,0.2820970118045807
CANN1D,2048,2048,2,1,0.007458031177520752,1.1788211788211789,0.001613544300198555,74.12860671965277,4.225294105708599e-07,2.3860192754909804e-07,0.004546940326690674,0.0039161185514013375,6.192399837345874e-07,1.232140064239502,0.5020064115524292
CANN1D,2048,2048,4,1,0.007458962500095367,1.1786739917592708,0.0013070879504084587,91.50860186323233,4.943867679685354e-07,2.213455445598811e-07,0.004752635955810547,0.0039631899062487945,6.263915679483034e-07,1.3562755584716797,0.8253647685050964
CANN1D,2048,2048,8,1,0.007416121661663055,1.185482858219264,0.0014962488785386086,79.93976976008116,4.789908416569233e-07,2.2062450000248646e-07,0.005019545555114746,0.0040334170899499,6.319219210126903e-07,1.4160480499267578,0.9936768412590027
CANN1D,2048,2048,16,1,0.007208436727523804,1.2196382428940569,0.00284416601061821,42.054433674972984,5.061447154730558e-07,2.463458770307625e-07,0.005021572113037109,0.004034998335281209,6.339752189887804e-07,1.4182333946228027,1.0
CANN1D,2048,2048,32,1,0.008833594620227814,0.9952556668423828,0.0055279117077589035,21.637427871048175,5.061447154730558e-07,2.463556256770971e-07,0.005021572113037109,0.004034998251040976,6.339753326756181e-07,1.4182335138320923,1.0
CANN1D,2048,2048,64,1,0.0074999406933784485,1.1722339500807153,0.011160415597259998,10.717324082762788,5.061447154730558e-07,2.463556256770971e-07,0.005021572113037109,0.004034998251040976,6.339753326756181e-07,1.4182333946228027,1.0
CANN1D,4096,4096,-1,0,0.13512466102838516,1.0,0.8474479243159294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,4096,4096,1,1,0.007791444659233093,17.34269662921348,0.0008512521162629128,995.5310631547277,1.4642137102782726e-07,1.0248324855410829e-07,0.004174470901489258,0.00372653384341966,2.981947488933656e-07,1.1297789812088013,0.282095342874527
CANN1D,4096,4096,2,1,0.007333233952522278,18.426339852679707,0.003267289139330387,259.3734096302261,1.4336546882987022e-07,1.0243515191632468e-07,0.00414586067199707,0.0035452846924413986,2.8778484306712926e-07,1.2223691940307617,0.5018981099128723
CANN1D,4096,4096,4,1,0.007332302629947662,18.428680299758668,0.0026772869750857353,316.53234494549895,1.6529520507901907e-07,1.0393407023912005e-07,0.0043103694915771484,0.0036096512316609146,2.913633068146737e-07,1.3454350233078003,0.8253136873245239
CANN1D,4096,4096,8,1,0.00800006091594696,16.890454016298023,0.003471667878329754,244.1039736565017,1.6590638551861048e-07,1.1313277070712502e-07,0.004239082336425781,0.0036713461106147,2.965888370454195e-07,1.405122995376587,0.9936741590499878
CANN1D,4096,4096,16,1,0.008584000170230865,15.741456005207768,0.005881874822080135,144.07785781748888,1.7364800442010164e-07,1.1410891431751224e-07,0.0042378902435302734,0.0036712086539547046,2.964291638818395e-07,1.4072911739349365,0.9999999403953552
CANN1D,4096,4096,32,1,0.008542090654373169,15.818687309201918,0.01213833224028349,69.8158451705172,1.7363345250487328e-07,1.1410666189703988e-07,0.0042378902435302734,0.003671207427791315,2.964291070384206e-07,1.4072911739349365,1.0
CANN1D,4096,4096,64,1,0.008249655365943909,16.379431022804244,0.024145208299160004,35.097975292489465,1.7363345250487328e-07,1.1410666189703988e-07,0.0042378902435302734,0.003671207278030901,2.964291070384206e-07,1.4072911739349365,1.0
CANN2D,8,64,-1,0,0.007292255759239197,1.0,0.0002172868698835373,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN2D,8,64,1,1,0.007334165275096893,0.9942857142857143,7.791444659233093e-05,2.788787951231174,0.00047419406473636627,0.0002039071114268154,0.017662901273945472,0.00647091650947702,4.250008350936696e-05,1.050563931465149,0.18412072956562042
CANN2D,8,64,2,1,0.007375143468379974,0.9887612072231342,7.291324436664581e-05,2.980074083535573,0.00047440268099308014,0.00020395350293256342,0.017713793258571316,0.006522646456570168,4.2568412027321756e-05,1.0853476524353027,0.256602942943573
CANN2D,8,64,4,1,0.007624737918376923,0.9563942836203737,0.00011166557669639587,1.9458715596330276,0.00044796615839004517,0.0002009801974054426,0.017790001867941174,0.006800812921823163,4.27484956162516e-05,1.1584686040878296,0.39146456122398376
CANN2D,8,64,8,1,0.0075837597250938416,0.9615620778582832,0.0001327134668827057,1.6372631578947368,0.0004221871495246887,0.00021795534121338278,0.01537079731440025,0.006646284724660422,4.6926714276196435e-05,1.2219610214233398,0.5687670707702637
CANN2D,8,64,16,1,0.007916241884231567,0.9211764705882353,0.00014771241694688797,1.4710128936666562,0.00039814040064811707,0.0002043559798039496,0.016139763248512826,0.007926577611354362,4.90174898004625e-05,1.2919434309005737,0.7563294768333435
CANN2D,8,64,32,1,0.007417052984237671,0.9831742842792567,0.0002054218202829361,1.0577594414471596,0.00043528154492378235,0.00019866767979692668,0.015877077498900216,0.007804179407205209,5.330012209014967e-05,1.3548803329467773,0.9337514638900757
CANN2D,8,64,64,1,0.007375143468379974,0.9887612072231342,0.00033832620829343796,0.6422407267221801,0.0004537254571914673,0.00022173579782247543,0.015996516921648055,0.007860283773848465,5.589009742834605e-05,1.377843976020813,1.0
CANN2D,8,64,128,1,0.007375143468379974,0.9887612072231342,0.0003258325159549713,0.6668667466986795,0.0004537254571914673,0.00022173579782247543,0.015996516921648055,0.007860283773848465,5.589009742834605e-05,1.377843976020813,1.0
CANN2D,16,256,-1,0,0.007458031177520752,1.0,0.0032493751496076584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN2D,16,256,1,1,0.007291324436664581,1.0228637118405928,0.0001312466338276863,24.75777896043995,4.6982429921627045e-05,1.5195370906440075e-05,0.004372819826702278,0.0026441264371856836,6.29182386546745e-06,1.0576589107513428,0.11183882504701614
CANN2D,16,256,2,1,0.007375143468379974,1.0112387927768658,0.0002749962732195854,11.816069765472864,4.5345164835453033e-05,1.4096798622631468e-05,0.00433176879707282,0.002394351863912608,6.677634246443631e-06,1.0882207155227661,0.18419210612773895
CANN2D,16,256,4,1,0.006916932761669159,1.0782280867106504,0.0002602115273475647,12.487437365783823,4.535680636763573e-05,1.4097970051807351e-05,0.0043403341225895006,0.002498315765386626,6.703125109197572e-06,1.1454122066497803,0.31961920857429504
CANN2D,16,256,8,1,0.007291324436664581,1.0228637118405928,0.00023042317479848862,14.101772325849282,4.38629649579525e-05,1.4216715499060228e-05,0.005131604578872964,0.0028788577587908963,6.764583758922527e-06,1.2262049913406372,0.5111117362976074
CANN2D,16,256,16,1,0.007790513336658478,0.9573221757322176,0.000363960862159729,8.92781473899693,4.493352025747299e-05,1.3453990504785907e-05,0.0048898309625204535,0.002909013071235258,6.440331617341144e-06,1.3126288652420044,0.74190354347229
CANN2D,16,256,32,1,0.008375383913516998,0.8904703658400979,0.0005660438910126686,5.740500341403622,5.630962550640106e-05,1.4878743968438357e-05,0.005261190256205177,0.0029385313764253044,7.206429927464342e-06,1.3790348768234253,0.9275741577148438
CANN2D,16,256,64,1,0.007458031177520752,1.0,0.0011849962174892426,2.7420974865999153,6.099417805671692e-05,1.6373416656279005e-05,0.005325012067039839,0.002939387021898063,7.338069281104254e-06,1.4015949964523315,0.9944862723350525
CANN2D,16,256,128,1,0.007375143468379974,1.0112387927768658,0.003183959051966667,1.020545521023766,6.08246773481369e-05,1.644088843022473e-05,0.00532442947818018,0.0029401210603351,7.351600743277231e-06,1.4034996032714844,0.9999616742134094
CANN2D,32,1024,-1,0,0.007582828402519226,1.0,0.02867437433451414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN2D,32,1024,1,1,0.007834285497665405,0.9679029957203994,0.00039958395063877106,71.76057569047896,7.426133379340172e-06,3.747756636585109e-06,0.003437749846673024,0.002685160725034496,1.449529008823447e-06,1.047961711883545,0.08703567832708359
CANN2D,32,1024,2,1,0.007249414920806885,1.0459917780061665,0.0008720811456441879,32.880397056781895,8.400296792387962e-06,4.177011305728229e-06,0.003669009603660934,0.002668861814678924,1.4186961152518052e-06,1.082955002784729,0.15379412472248077
CANN2D,32,1024,4,1,0.007375143468379974,1.0281601212274276,0.0007568718865513802,37.88537379181356,8.398666977882385e-06,4.175885806034785e-06,0.003669559712105189,0.0026873329812100127,1.421360479980649e-06,1.1361088752746582,0.28101956844329834
CANN2D,32,1024,8,1,0.007749535143375397,0.9784881624804711,0.0007564574480056763,37.90612996158771,8.647097274661064e-06,4.0643867578182835e-06,0.0045062177651143875,0.0028017995149808243,1.4582652738681645e-06,1.22176992893219,0.4854511618614197
CANN2D,32,1024,16,1,0.007875263690948486,0.9628666035950804,0.001338748261332512,21.418794827022477,8.702976629137993e-06,4.0563363654655404e-06,0.004359140512102256,0.002840727939545786,1.4807449133513728e-06,1.313123345375061,0.7183515429496765
CANN2D,32,1024,32,1,0.007292255759239197,1.0398467432950191,0.0030281255021691322,9.46934805508354,8.89296643435955e-06,3.725748911165283e-06,0.004366688592716738,0.0028390266283516343,1.5121055412237183e-06,1.388866662979126,0.9201074838638306
CANN2D,32,1024,64,1,0.007666647434234619,0.989067055393586,0.005886461585760117,4.871241223060055,8.0084428191185e-06,3.362858024047455e-06,0.0043730167971988785,0.002843073519530668,1.5330472251662286e-06,1.415116786956787,0.9939583539962769
CANN2D,32,1024,128,1,0.007041729986667633,1.0768416876074594,0.012069162912666798,2.3758378722703197,8.070375770330429e-06,3.3778080705815228e-06,0.004373420118105008,0.0028434249013484935,1.5341491916842642e-06,1.4172202348709106,0.9999592304229736
CANN2D,64,4096,-1,0,0.007750466465950012,1.0,0.7692018756642938,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN2D,64,4096,1,1,0.007416121661663055,1.0450835112394825,0.0008114567026495934,947.9271945781853,1.2253876775503159e-06,6.558652785315644e-07,0.004010694104296676,0.003337060747222775,4.049698247854394e-07,1.0420012474060059,0.08118289709091187
CANN2D,64,4096,2,1,0.007334165275096893,1.0567619047619048,0.003221253864467144,238.7895856794057,1.1986121535301208e-06,6.773977929697139e-07,0.004197236056652334,0.0032868964732868967,4.0424330904897943e-07,1.0741790533065796,0.1453482210636139
CANN2D,64,4096,4,1,0.007458962500095367,1.0390810338369334,0.002637081779539585,291.68677347525824,1.207459717988968e-06,6.818713131906406e-07,0.004152697268934435,0.0032442260792965674,4.031036837659485e-07,1.1299396753311157,0.270079642534256
CANN2D,64,4096,8,1,0.0069160014390945435,1.1206571505521141,0.003437921404838562,223.74038992913336,1.2284144759178162e-06,6.979331601542071e-07,0.003958015090003817,0.0032776019531047945,4.0010272073232045e-07,1.2196979522705078,0.4771011769771576
CANN2D,64,4096,16,1,0.0074999406933784485,1.0334037004842915,0.005837082862854004,131.77847458005718,1.2042000889778137e-06,6.809111710026627e-07,0.004015093587720275,0.0032895860625233118,4.03771394985597e-07,1.313307523727417,0.7105357050895691
CANN2D,64,4096,32,1,0.007458962500095367,1.0390810338369334,0.011283750645816326,68.16898917821182,1.234875526279211e-06,6.759082111784664e-07,0.004014098493283244,0.0032898631695481226,4.0441207715957717e-07,1.3892796039581299,0.917641818523407
CANN2D,64,4096,64,1,0.007582828402519226,1.0221075902726602,0.022911252453923225,33.573104622334995,1.2799864634871483e-06,6.739571176694881e-07,0.004015394444465257,0.003289033448253602,4.0411518398286717e-07,1.4161361455917358,0.9937720894813538
CANN2D,64,4096,128,1,0.007333233952522278,1.0568961137922275,0.047819167375564575,16.0856392505352,1.2497766874730587e-06,6.713564175697684e-07,0.004014293240906673,0.0032889038962903164,4.040096541757521e-07,1.4183019399642944,0.9999579191207886
