model,n,n_neurons,k,is_lowrank,per_step_ms,speedup_vs_dense,matvec_per_step_ms,matvec_speedup,max_abs_err_r_max,mean_abs_err_r_max,max_pos_err,mean_pos_err,rmse_r,relerr_conn,captured_energy
CANN1D,64,64,-1,0,0.2443445846438408,1.0,0.009376779198646545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,64,64,1,1,0.24253875017166138,1.0074455503333026,0.008965744636952877,1.0458449998675585,6.205309182405472e-05,2.3937342120916583e-05,0.005821943283081055,0.003966364569625064,2.2502725187223405e-05,1.064333438873291,0.2849261462688446
CANN1D,64,64,2,1,0.21860934793949127,1.1177224896689815,0.009472616948187351,0.9898826533295907,6.0937367379665375e-05,2.4242093786597252e-05,0.004770040512084961,0.0027490738432985455,1.920333488669712e-05,1.179993987083435,0.5101260542869568
CANN1D,64,64,4,1,0.1519080251455307,1.608503463920054,0.009522717446088791,0.9846747266976628,6.336253136396408e-05,2.8796341212000698e-05,0.006823062896728516,0.004368193606710314,2.599942308734171e-05,1.3237743377685547,0.8289600610733032
CANN1D,64,64,8,1,0.12549851089715958,1.9469919037052978,0.009166956879198551,1.02288898292127,7.753726094961166e-05,3.5910332371713594e-05,0.006996631622314453,0.0037127990818502914,2.4460337954224087e-05,1.380611777305603,0.9938458800315857
CANN1D,64,64,16,1,0.12711156159639359,1.9222845001282192,0.009770947508513927,0.9596591518351805,7.901526987552643e-05,3.559959077392705e-05,0.007001638412475586,0.0037065286273557938,2.4448718249914236e-05,1.383048415184021,1.0
CANN1D,64,64,32,1,0.12488197535276413,1.9566040972175611,0.009911339730024338,0.9460657644739537,7.901526987552643e-05,3.559982724254951e-05,0.007001638412475586,0.003706529188957346,2.4448710973956622e-05,1.383048415184021,1.0
CANN1D,128,128,-1,0,0.1206081360578537,1.0,0.009230226278305054,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,128,128,1,1,0.1322636380791664,0.9118767471499891,0.008828658610582352,1.0454845617477346,9.610317647457123e-06,4.662564151658444e-06,0.0041751861572265625,0.0036236031364705696,9.36865126277553e-06,1.1587873697280884,0.28273317217826843
CANN1D,128,128,2,1,0.12508034706115723,0.9642452942578031,0.00894943717867136,1.0313750567804287,9.578652679920197e-06,5.243755822448293e-06,0.006274223327636719,0.004648766265105662,1.138196330430219e-05,1.2619991302490234,0.5055912137031555
CANN1D,128,128,4,1,0.11397898197174072,1.0581611975421623,0.00902875792235136,1.0223140721776296,1.106318086385727e-05,4.4576731852430385e-06,0.006385684013366699,0.0039025679436610573,1.0601430403767154e-05,1.3697775602340698,0.8270002007484436
CANN1D,128,128,8,1,0.11787842959165573,1.0231569632854287,0.009790714830160141,0.942753051071561,2.414872869849205e-05,1.1167563570779748e-05,0.006711602210998535,0.0038646907012104686,1.1830656148958951e-05,1.4183002710342407,0.9937556385993958
CANN1D,128,128,16,1,0.1248745247721672,0.9658345949896706,0.009932522661983967,0.9292932513139986,2.3966655135154724e-05,1.1272991287114564e-05,0.006699800491333008,0.0038636672666212124,1.184260327136144e-05,1.420492172241211,0.9999999403953552
CANN1D,128,128,32,1,0.12098904699087143,0.9968516907729138,0.010444102808833122,0.8837739772628981,2.3966655135154724e-05,1.1272150914010126e-05,0.006699800491333008,0.003863661086664128,1.1842596904898528e-05,1.420492172241211,1.0
CANN1D,256,256,-1,0,0.1178523525595665,1.0,0.00994211994111538,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,256,256,1,1,0.1168418675661087,1.008648312582697,0.009039007127285004,1.099912833468651,2.3096799850463867e-06,1.2035726513204281e-06,0.004198789596557617,0.003699801146197858,4.71310704597272e-06,1.1141858100891113,0.28224533796310425
CANN1D,256,256,2,1,0.11474825441837311,1.0270513757000244,0.009166290983557701,1.0846393551054994,2.86102294921875e-06,1.2875336778961355e-06,0.006113171577453613,0.00456680380856272,5.564631919696694e-06,1.204457402229309,0.5035987496376038
CANN1D,256,256,4,1,0.11943932622671127,0.986713139488643,0.009756176732480526,1.0190590242195805,4.619592800736427e-06,2.092914655804634e-06,0.00676727294921875,0.00488094329347263,6.253562787605915e-06,1.3335713148117065,0.8261029124259949
CANN1D,256,256,8,1,0.11089816689491272,1.062707850448453,0.009755794890224934,1.0190989102361243,6.9641973823308945e-06,2.9477209864126053e-06,0.006819248199462891,0.0043357421653392025,5.596562004939187e-06,1.392866611480713,0.993712842464447
CANN1D,256,256,16,1,0.11183042079210281,1.0538487803659318,0.01010228879749775,0.9841452902809468,7.129274308681488e-06,2.9800703487126157e-06,0.00682377815246582,0.004336319901236337,5.607095772575121e-06,1.394921898841858,0.9999999403953552
CANN1D,256,256,32,1,0.11920090764760971,0.9886867045339125,0.010841218754649162,0.9170666293263189,7.129274308681488e-06,2.980161298182793e-06,0.00682377815246582,0.0043363145847416405,5.607100774795981e-06,1.394921898841858,1.0
CANN1D,512,512,-1,0,0.12378301471471786,1.0,0.010236012749373913,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,512,512,1,1,0.11964235454797745,1.0346086482699568,0.009301151148974895,1.100510311619014,1.262524165213108e-06,6.819708460170659e-07,0.004178881645202637,0.003711616007339715,2.3715160750725772e-06,1.121942400932312,0.2821313142776489
CANN1D,512,512,2,1,0.11793896555900574,1.049551470355981,0.010003047063946724,1.0232894720916441,1.439359039068222e-06,7.756636364320002e-07,0.005652189254760742,0.004080450859613454,2.5612634999561124e-06,1.2235699892044067,0.5026715397834778
CANN1D,512,512,4,1,0.11700950562953949,1.0578885369076234,0.008301851339638233,1.2329795283734826,2.3419270291924477e-06,1.2261740494068363e-06,0.0057680606842041016,0.0031665260084535007,2.21166715164145e-06,1.333984136581421,0.8256756663322449
CANN1D,512,512,8,1,0.12250710278749466,1.0104150036870634,0.008524307049810886,1.2008029144845271,2.9026996344327927e-06,1.5232886880767182e-06,0.005926966667175293,0.0035900748685826008,2.5314043341495562e-06,1.3945411443710327,0.9936921000480652
CANN1D,512,512,16,1,0.11133495718240738,1.1118072692291605,0.008852719329297543,1.1562563285496292,2.8870999813079834e-06,1.5709962326582172e-06,0.005934476852416992,0.003591069146691255,2.53417897511099e-06,1.3965641260147095,0.9999999403953552
CANN1D,512,512,32,1,0.11901184916496277,1.0400898362913575,0.012660403735935688,0.8085060289443766,2.8870999813079834e-06,1.5709549643361242e-06,0.005934476852416992,0.0035910674010464294,2.5341782929899637e-06,1.3965641260147095,1.0
CANN1D,1024,1024,-1,0,0.12248661369085312,1.0,0.01218398567289114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,1024,1024,1,1,0.1193387433886528,1.0263776055689524,0.010006283409893513,1.217633478264714,6.193877197802067e-07,3.7093587934577954e-07,0.004179835319519043,0.003720523204523415,1.1891398798979935e-06,1.1300593614578247,0.2821037769317627
CANN1D,1024,1024,2,1,0.11780764907598495,1.0397169848610617,0.010692998766899109,1.1394358064089076,6.034970283508301e-07,3.5486823435348924e-07,0.004537224769592285,0.003712939594558735,1.189647719002096e-06,1.218907356262207,0.5022252798080444
CANN1D,1024,1024,4,1,0.12261141091585159,0.9989821728331295,0.010657641105353832,1.1432159848928065,6.319605745375156e-07,3.684111220536579e-07,0.004533171653747559,0.003637987624236088,1.1800738093370455e-06,1.3394720554351807,0.8254675269126892
CANN1D,1024,1024,8,1,0.11843536049127579,1.0342064496850647,0.011464315466582775,1.0627748083525899,9.368523024022579e-07,5.493446906257304e-07,0.004537701606750488,0.0036369724919897827,1.1716185781551758e-06,1.3980169296264648,0.9936819672584534
CANN1D,1024,1024,16,1,0.11414941400289536,1.0730376039227525,0.014870697632431984,0.8193284521042706,9.387731552124023e-07,5.591922445091768e-07,0.004522442817687988,0.003637951143535238,1.173594682768453e-06,1.4003137350082397,1.0
CANN1D,1024,1024,32,1,0.11158362030982971,1.0977114145494609,0.01590004190802574,0.766286387379968,9.387731552124023e-07,5.591806484517292e-07,0.004522442817687988,0.0036379499735320034,1.1735945690816152e-06,1.4003137350082397,1.0
CANN1D,2048,2048,-1,0,0.1284359022974968,1.0,0.015792143531143665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN1D,2048,2048,1,1,0.12045912444591522,1.066219789395556,0.009804773144423962,1.6106587371809578,2.846354618668556e-07,2.0589097005085932e-07,0.004174470901489258,0.0037240029907031876,5.958825113339117e-07,1.1282604932785034,0.2820969820022583
CANN1D,2048,2048,2,1,0.12066774070262909,1.0643764567865026,0.011931117624044418,1.3236097429228457,2.9682996682822704e-07,2.0554318780341418e-07,0.004116058349609375,0.0034120679556874176,5.602230430667987e-07,1.2194757461547852,0.5020064115524292
CANN1D,2048,2048,4,1,0.12468826025724411,1.0300560937535013,0.011056489311158657,1.4283144573934146,3.9249425753951073e-07,2.480167324847571e-07,0.0043125152587890625,0.0032993877100659973,5.420291699920199e-07,1.3465454578399658,0.8253647089004517
CANN1D,2048,2048,8,1,0.11711101979017258,1.0967021082013886,0.015496229752898216,1.0190958564092085,3.569584805518389e-07,2.3996705067474977e-07,0.004693269729614258,0.0032678394526917134,5.386476118474093e-07,1.4110102653503418,0.9936766624450684
CANN1D,2048,2048,16,1,0.11766795068979263,1.0915113380030868,0.018187686800956726,0.8682876334945988,3.791064955294132e-07,2.342664799925842e-07,0.004700183868408203,0.003267343736361319,5.38758399670769e-07,1.4132901430130005,1.0
CANN1D,2048,2048,32,1,0.1191217452287674,1.0781902334526918,0.017544226720929146,0.9001333477014773,3.7922291085124016e-07,2.3427841711054498e-07,0.004700183868408203,0.0032673441388424316,5.387582291405124e-07,1.41329026222229,1.0
CANN2D,8,64,-1,0,0.12206193059682846,1.0,0.008595171384513378,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN2D,8,64,1,1,0.10900851339101791,1.1197467683921842,0.008234218694269657,1.043835693906808,0.00041173771023750305,0.00016521761426702142,0.007287527282321665,0.004215552753464943,3.364390431670472e-05,1.0321407318115234,0.18412072956562042
CANN2D,8,64,2,1,0.1222267746925354,0.9986513258153003,0.008716098964214325,0.9861259515068107,0.00042393431067466736,0.0001708315685391426,0.0073378506199278356,0.004231058154327316,3.4667384170461446e-05,1.0511043071746826,0.256602942943573
CANN2D,8,64,4,1,0.11349841952323914,1.0754504874126103,0.009511476382613182,0.9036632210142692,0.0004239417612552643,0.00017103571735788137,0.0085101685362118,0.004487949652839696,3.5346460208529606e-05,1.1006126403808594,0.39146456122398376
CANN2D,8,64,8,1,0.11595524847507477,1.052664128636371,0.009034457616508007,0.951376579464831,0.0004311464726924896,0.00017995518282987177,0.009482719877908483,0.005834120833461661,3.9274764276342466e-05,1.1910747289657593,0.5687670707702637
CANN2D,8,64,16,1,0.12212246656417847,0.99950430114087,0.009662085212767124,0.8895772698377815,0.000450819730758667,0.00017901316459756345,0.009587810421608028,0.005716450798146647,3.919364098692313e-05,1.274596929550171,0.7563294768333435
CANN2D,8,64,32,1,0.12314878404140472,0.9911744687287303,0.009825588203966618,0.8747742329607792,0.0004520714282989502,0.00019636251090560108,0.01014568948617079,0.00692046173243266,4.682961662183516e-05,1.345545768737793,0.9337514638900757
CANN2D,8,64,64,1,0.12348312884569168,0.9884907496096961,0.010153376497328281,0.8465333070998674,0.0004903934895992279,0.00021872096112929285,0.010226211287749105,0.006871733843155465,4.9530201067682356e-05,1.3705860376358032,1.0
CANN2D,8,64,128,1,0.13907253742218018,0.8776853637629916,0.010133576579391956,0.8481873420676427,0.0004903934895992279,0.00021872096112929285,0.010226211287749105,0.006871733843155465,4.9530201067682356e-05,1.3705860376358032,1.0
CANN2D,16,256,-1,0,0.11568982154130936,1.0,0.010072584263980389,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CANN2D,16,256,1,1,0.11261086910963058,1.0273415209031138,0.009089279919862747,1.1081828651760226,4.615960642695427e-05,1.7172589650726877e-05,0.004317354574061941,0.0024657756886405147,6.283796665229602e-06,1.0691585540771484,0.11183882504701614
CANN2D,16,256,2,1,0.10004360228776932,1.156394001172955,0.009192782454192638,1.0957057141482218,4.336005076766014e-05,1.5557619917672127e-05,0.00439869799249564,0.0025789120034907164,6.389867394318571e-06,1.1038968563079834,0.18419210612773895
CANN2D,16,256,4,1,0.1024855300784111,1.1288405441509228,0.009757312946021557,1.032311284848907,4.3373554944992065e-05,1.5553483535768464e-05,0.004605287110105238,0.002936318702619822,6.4615096562192775e-06,1.1718629598617554,0.31961923837661743
CANN2D,16,256,8,1,0.11243391782045364,1.0289583764754608,0.009874096140265465,1.020101903090199,4.324456676840782e-05,1.5045353393361438e-05,0.004897023716217186,0.002900143630444896,6.432131613109959e-06,1.2483094930648804,0.5111117959022522
CANN2D,16,256,16,1,0.0986764207482338,1.172416071276887,0.010464899241924286,0.9625113468486909,4.578288644552231e-05,1.5054168216011021e-05,0.005275490988165741,0.00310082172080685,6.748874056938803e-06,1.3372228145599365,0.74190354347229
CANN2D,16,256,32,1,0.1288633793592453,0.897771128745501,0.010664728470146656,0.9444763917033769,5.101412534713745e-05,1.622333365958184e-05,0.006016642624562964,0.0032597046753784875,7.405403721350012e-06,1.4072785377502441,0.9275741577148438
